,ID,NAME,NATION,POSITION,TEAM,AGE,90S,SCA,SCA90,GCA,GCA90,TACKLES,TACKLESWIN,VSDRIBLETACKLE,%VSDRIBLETACKLE,BLOCKS,INTERCEPTIONS,TOTALPASSES,%TOTALPASSES,ASSIST,SHOTPASSES,TOTALTOUCHES,TOTALDRIBBLES,%TOTALDRIBBLES,DISTANCE,GOALS,SHOTS,SHOTSONTARGET,FREEKICKS,VAL
310,488,Antonio Sanabria,py PAR,FW,Betis,21,9.5,11,1.16,3,0.32,8,8,0,0.0,5,4,126,72.4,0,4,264,11,54.5,723,8,24,12,0,79
311,489,Carlos Sanchez,co COL,MF,Espanyol,31,12.5,16,1.28,0,0.00,25,12,9,37.5,13,18,478,81.8,0,3,686,10,90.0,1469,0,4,0,0,67
312,490,Sergio Sanchez,es ESP,DF,Espanyol,31,1.1,2,1.78,0,0.00,4,3,3,75.0,1,3,28,68.3,0,0,54,0,,86,0,1,0,0,73
313,491,Victor Sanchez,es ESP,MFDF,Espanyol,29,27.3,24,0.88,3,0.11,106,72,49,43.4,38,79,1007,71.7,2,5,1747,19,57.9,3223,0,13,1,1,77
314,493,Nicola Sansone,it ITA,FWMF,Villarreal,25,7.1,23,3.26,3,0.43,8,4,2,11.8,1,1,177,74.1,1,13,305,16,62.5,1214,5,14,6,2,76
315,495,Pablo Sarabia,es ESP,FWMF,Sevilla,25,26.6,98,3.68,13,0.49,27,19,11,22.4,39,30,865,73.4,5,46,1489,45,46.7,4961,6,56,25,2,81
316,497,Stefan Savić,me MNE,DF,Atlético Madrid,26,25.5,10,0.39,0,0.00,30,20,16,41.0,38,45,809,81.4,0,3,1269,4,100.0,2911,0,3,1,0,83
317,500,Nelson Semedo,pt POR,DF,Barcelona,23,16.6,23,1.39,2,0.12,34,25,17,58.6,16,22,1000,87.1,0,11,1283,46,63.0,4738,0,3,2,0,80
318,501,Ruben Semedo,pt POR,DFMF,Villarreal,23,2.6,1,0.39,0,0.00,6,5,4,66.7,5,5,78,87.6,0,1,116,2,50.0,308,0,1,0,0,75
319,502,Gaku Shibasaki,jp JPN,MFFW,Getafe,25,11.1,27,2.43,1,0.09,21,10,6,28.6,6,19,256,71.7,0,9,464,17,70.6,1208,1,10,3,0,77
320,503,Sidnei,br BRA,DF,La Coruña,27,19.8,13,0.66,4,0.20,41,28,18,72.0,26,31,642,83.5,1,5,987,21,76.2,3284,1,8,2,0,79
321,504,Jaime Sierra Mateos,es ESP,FWMF,Leganés,19,0.3,0,0.00,0,0.00,1,1,0,0.0,0,1,3,60.0,0,0,9,0,,11,0,0,0,0,63
322,505,David Simon,es ESP,DF,Las Palmas,28,8.0,16,2.00,0,0.00,24,17,9,56.3,13,22,413,78.7,0,10,628,26,50.0,1274,0,3,1,0,68
323,506,Dimitris Siovas,gr GRE,DF,Leganés,28,22.9,14,0.61,1,0.04,48,33,29,63.0,27,62,547,73.5,1,2,998,12,66.7,2573,1,18,2,1,72
