,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
325,Borja Mayoral,es ESP,FW,Levante,22,1997,23.8,9,4,4,2,3,1,13,7.7,12,322,84,26.1,25,153,144,14,2,0,12,7,16,10,0,Matches,64e8ed6d
326,Óscar Melendo,es ESP,MFFW,Espanyol,21,1997,12.4,9,6,5,3,1,4,10,40.0,6,171,48,28.1,50,85,36,11,2,0,9,2,11,5,0,Matches,379652be
327,Gonzalo Melero,es ESP,MF,Levante,25,1994,13.7,28,16,14,11,3,7,23,30.4,16,256,69,27.0,93,119,44,18,3,0,15,7,35,23,1,Matches,3902e91b
328,Arthur Melo,br BRA,MF,Barcelona,22,1996,13.1,17,13,8,6,3,3,9,33.3,6,188,53,28.2,36,98,54,10,0,0,10,6,23,9,1,Matches,48b3dd60
329,Brais Méndez,es ESP,MFFW,Celta Vigo,22,1997,16.4,22,13,9,9,4,12,36,33.3,24,314,68,21.7,106,126,82,19,0,0,19,5,27,28,0,Matches,c9e39d91
330,Édgar Méndez,es ESP,MFFW,Alavés,29,1990,9.6,15,8,9,6,0,3,10,30.0,7,143,32,22.4,40,67,36,18,3,0,15,3,18,11,0,Matches,aed746df
331,Ferland Mendy,fr FRA,DF,Real Madrid,24,1995,20.1,31,16,19,8,4,10,19,52.6,9,169,54,32.0,68,64,37,38,5,0,33,17,48,30,1,Matches,3cefcaef
332,Fran Mérida,es ESP,MF,Osasuna,29,1990,12.9,26,14,9,12,5,10,29,34.5,19,264,77,29.2,56,169,39,20,4,0,16,15,41,17,0,Matches,0e50f929
333,Mikel Merino,es ESP,MF,Real Sociedad,23,1996,34.9,82,63,20,52,10,22,81,27.2,59,668,202,30.2,152,406,110,58,6,0,52,34,116,68,0,Matches,d080ed5e
334,Sabin Merino,es ESP,FW,Leganés,27,1992,0.9,0,0,0,0,0,0,0,,0,10,2,20.0,0,4,6,1,0,0,1,1,1,0,0,Matches,1d5f96d9
