,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,,-additional
535,Iñaki Williams,gh GHA,FW,Athletic Club,24,1994,33.6,516,733,70.4,7025,1154,338,428,79.0,138,196,70.4,20,42,47.6,4,2.8,+1.2,27,19,16,6,29,Matches,6a99e0b1
536,Maximilian Wöber,at AUT,DF,Sevilla,20,1998,6.0,238,296,80.4,4598,1502,98,112,87.5,107,124,86.3,32,50,64.0,0,0.3,-0.3,4,15,5,2,18,Matches,4b803b3c
537,Yoel,es ESP,GK,Valladolid,29,1988,3.0,44,97,45.4,2035,1666,6,6,100.0,9,10,90.0,29,80,36.3,0,0.0,0.0,0,3,0,0,0,Matches,61bb7498
538,Okay Yokuşlu,tr TUR,MF,Celta Vigo,24,1994,24.4,1199,1382,86.8,22207,6604,517,580,89.1,510,567,89.9,152,193,78.8,0,0.5,-0.5,11,100,7,1,88,Matches,e49ce451
539,Joseba Zaldúa,es ESP,DF,Real Sociedad,26,1992,23.8,957,1234,77.6,16777,6994,463,527,87.9,396,494,80.2,90,174,51.7,2,2.6,-0.6,16,67,30,17,74,Matches,5ca20b7a
540,Nabil El Zhar,ma MAR,MFFW,Leganés,31,1986,10.7,216,301,71.8,3740,1104,112,137,81.8,76,103,73.8,23,48,47.9,0,0.6,-0.6,15,20,17,7,27,Matches,37f96552
541,Luca Zidane,fr FRA,GK,Real Madrid,20,1998,1.0,34,40,85.0,908,447,4,4,100.0,21,21,100.0,9,15,60.0,0,0.0,0.0,0,1,0,0,0,Matches,c818c4d9
542,Igor Zubeldia,es ESP,MF,Real Sociedad,21,1997,28.3,1067,1232,86.6,21148,4369,385,430,89.5,506,559,90.5,161,213,75.6,1,0.5,+0.5,6,81,8,2,70,Matches,5c7845f6
543,Martín Zubimendi,es ESP,MF,Real Sociedad,19,1999,0.1,2,4,50.0,33,29,1,2,50.0,1,2,50.0,0,0,,0,0.1,-0.1,1,1,0,0,1,Matches,3ee0dd59
544,David Zurutuza,es ESP,MFFW,Real Sociedad,32,1986,13.6,503,621,81.0,8851,2271,235,284,82.7,210,252,83.3,51,62,82.3,0,0.3,-0.3,6,46,5,1,58,Matches,d9bda115
